Buchungsdatum,Belegdatum,Belegnummer,Pos.,Werk,Lagerort,Bewegungsart,Material,Materialkurztext,Menge,Basismengeneinheit,Kostenstelle
05.01.2024,03.01.2024,5000041201,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.340,L,4001
12.01.2024,12.01.2024,5000041289,0001,DE01,0001,201,DIES-0010,Diesel EN590,1.780,L,4001
19.01.2024,18.01.2024,5000041354,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.120,L,4001
26.01.2024,25.01.2024,5000041421,0001,DE01,0001,201,DIES-0010,Diesel EN590,1.960,L,4001
08.02.2024,07.02.2024,5000042011,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.450,L,4001
15.02.2024,14.02.2024,5000042098,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.200,L,4001
22.02.2024,22.02.2024,5000042177,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.310,L,4001
07.03.2024,06.03.2024,5000042688,0001,DE01,0001,201,NGAS-0001,Erdgas H-Gas (Heizwert),5.600,M3,4002
14.03.2024,13.03.2024,5000042754,0001,DE01,0001,201,NGAS-0001,Erdgas H-Gas (Heizwert),5.200,M3,4002
21.03.2024,20.03.2024,5000042831,0001,DE01,0001,201,NGAS-0001,Erdgas H-Gas (Heizwert),4.800,M3,4002
28.03.2024,27.03.2024,5000042905,0001,DE01,0001,201,NGAS-0001,Erdgas H-Gas (Heizwert),5.100,M3,4002
04.04.2024,03.04.2024,5000043301,0001,DE01,0001,201,DIES-0010,Diesel EN590,2.560,L,4001
11.04.2024,10.04.2024,5000043389,0001,DE01,0001,201,NGAS-0001,Erdgas H-Gas (Heizwert),4.200,M3,4002
10.01.2024,08.01.2024,5000041225,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.450,L,6001
17.01.2024,16.01.2024,5000041302,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.200,L,6001
24.01.2024,23.01.2024,5000041378,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.700,L,6001
07.02.2024,06.02.2024,5000042034,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.100,L,6001
14.02.2024,13.02.2024,5000042111,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.850,L,6001
21.02.2024,20.02.2024,5000042189,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.400,L,6001
06.03.2024,05.03.2024,5000042699,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.650,L,6001
13.03.2024,12.03.2024,5000042765,0001,IN02,0002,201,DIES-0020,Diesel (Industrial Grade),3.300,L,6001
03.01.2024,02.01.2024,5000041198,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,1.890,GAL,7001
10.01.2024,09.01.2024,5000041256,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,2.100,GAL,7001
17.01.2024,16.01.2024,5000041323,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,1.750,GAL,7001
24.01.2024,23.01.2024,5000041399,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,2.050,GAL,7001
07.02.2024,06.02.2024,5000042045,0001,US03,0003,201,NGAS-0030,Natural Gas (Compressed),8.200,M3,7002
14.02.2024,13.02.2024,5000042122,0001,US03,0003,201,NGAS-0030,Natural Gas (Compressed),7.600,M3,7002
21.02.2024,21.02.2024,5000042198,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,1.980,GAL,7001
06.03.2024,05.03.2024,5000042711,0001,US03,0003,201,DIES-0030,Ultra Low Sulfur Diesel,2.230,GAL,7001
15.01.2024,12.01.2024,5000041278,0001,DE01,0001,101,DIES-0010,Diesel EN590,10.000,L,
22.01.2024,19.01.2024,5000041350,0001,IN02,0002,101,DIES-0020,Diesel (Industrial Grade),15.000,L,
29.01.2024,26.01.2024,5000041412,0001,US03,0003,101,DIES-0030,Ultra Low Sulfur Diesel,5.000,GAL,
05.02.2024,02.02.2024,5000041989,0001,DE01,0001,101,NGAS-0001,Erdgas H-Gas (Heizwert),25.000,M3,
25.01.2024,23.01.2024,5000041405,0001,IN02,0002,201,SYNTH-0099,Synthetic Lubricant Base Oil,,L,6001
18.01.2024,17.01.2024,5000041330,0001,DE01,0001,261,DIES-0010,Diesel EN590,1.150,L,PROJ-001
25.01.2024,24.01.2024,5000041403,0001,DE01,0001,261,DIES-0010,Diesel EN590,980,L,PROJ-001
